label,instance,validation,unavoidable_customers,score,n_vehicles,avg_travel_time,std_travel_time,avg_tw_violations,n_scenarios,runtime_sec
CW_λ0.85,istanbul_small_100,PASSED,,23805.86,20,3749.36,128.37,1.13,100,0.0
SA_300k,istanbul_small_100,PASSED,,21694.38,18,3569.38,85.09,2.5,100,25.7
TS_5000,istanbul_small_100,PASSED,,22664.91,19,3586.91,116.92,1.56,100,6.6
MA_SA_g20,istanbul_small_100,PASSED,,21778.73,18,3695.23,107.61,1.67,100,69.6
MA_TS_g20,istanbul_small_100,PASSED,,21533.18,18,3448.68,98.32,1.69,100,15.7
ACO_a15_i50,istanbul_small_100,PASSED,,22932.27,18,4813.77,100.53,2.37,100,82.4
LNS_1000,istanbul_small_100,PASSED,,21719.93,18,3620.93,127.91,1.98,100,29.7
MA_LNS_g10,istanbul_small_100,PASSED,,21520.31,18,3400.31,109.62,2.4,100,974.5
Best+Elim,istanbul_small_100,PASSED,,21520.31,18,3400.31,109.62,2.4,100,0.0
CW_λ0.85,istanbul_medium_300,PASSED,"[64, 112, 217]",65127.73,54,10742.23,219.8,7.71,100,0.0
SA_300k,istanbul_medium_300,PASSED,"[64, 112, 217]",64552.52,53,11142.52,204.77,8.2,100,62.0
TS_5000,istanbul_medium_300,PASSED,"[64, 112, 217]",64922.99,54,10527.99,223.0,7.9,100,14.1
MA_SA_g20,istanbul_medium_300,PASSED,"[64, 112, 217]",64186.45,53,10784.95,208.83,8.03,100,158.1
MA_TS_g20,istanbul_medium_300,PASSED,"[64, 112, 217]",63861.31,53,10498.81,216.39,7.25,100,32.9
ACO_a15_i50,istanbul_medium_300,PASSED,"[64, 112, 217]",65127.73,54,10742.23,219.8,7.71,100,203.9
LNS_1000,istanbul_medium_300,PASSED,"[64, 112, 217]",63412.28,52,10969.78,188.19,8.85,100,736.6
MA_LNS_g10,istanbul_medium_300,PASSED,"[64, 112, 217]",63191.95,52,10759.95,164.57,8.64,100,3809.6
Best+Elim,istanbul_medium_300,PASSED,"[64, 112, 217]",63191.95,52,10759.95,164.57,8.64,100,0.0
CW_λ0.85,istanbul_full_500,FAILED,,118761.9,100,18333.4,318.15,8.57,100,0.2
CW_λ0.85,istanbul_full_500,FAILED,,116386.67,98,17861.67,317.73,10.5,100,0.2
CW_λ0.85,istanbul_full_500,PASSED,,116386.67,98,17861.67,317.73,10.5,100,0.2
SA_2000k,istanbul_full_500,PASSED,[463],112018.24,94,17475.74,213.19,10.85,100,597.3
TS_30000,istanbul_full_500,PASSED,,113968.66,96,17508.66,287.18,9.2,100,107.1
MA_SA_g200,istanbul_full_500,PASSED,,112132.41,94,17643.41,284.81,9.78,100,1852.1
MA_TS_g200,istanbul_full_500,PASSED,,112530.24,95,17073.24,305.41,9.14,100,458.6
ACO_a20_i300,istanbul_full_500,PASSED,,116318.98,95,20677.98,324.66,12.82,100,2673.6
LNS_5000,istanbul_full_500,PASSED,,112120.96,93,18458.96,244.61,13.24,100,16019.2
